action_pack_gate_reason,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,quality_review_status,score,score_request_id,sector_hint,source_deep_order_intent_id,stage
,0.49,needs_verification,verification_ready,vistavisiongroup.com,6,verification,ord_e66f7a82,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-006,medicina estetica,,purchase
,0.49,needs_verification,,bianchiosteopata.it,7,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-007,medicina estetica,,score
,0.49,needs_verification,verification_ready,bianchiosteopata.it,7,verification,ord_d26c99e1,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-007,medicina estetica,,purchase
,0.35,needs_verification,,example-dentist-milano.it,8,verification,,high,,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-008,dentist,,score
,0.35,needs_verification,verification_ready,example-dentist-milano.it,8,verification,ord_c3356d9d,high,verification,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-008,dentist,,purchase
,0.5,nurture,,demo-clinic-lombardia.it,9,nurture_signal,,medium,,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-009,dentist,,score
,0.5,nurture,nurture_signal_ready,demo-clinic-lombardia.it,9,nurture_signal,ord_941203e5,medium,nurture_signal,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-009,dentist,,purchase
,0.67,nurture,,studio-legale-demo.it,10,nurture_signal,,medium,,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-010,law firm,,score
,0.67,nurture,nurture_signal_ready,studio-legale-demo.it,10,nurture_signal,ord_ba493850,medium,nurture_signal,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-010,law firm,,purchase
,0.49,needs_verification,,cogebra.com,11,verification,,low,,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-011,real estate,,score
,0.49,needs_verification,verification_ready,cogebra.com,11,verification,ord_b1315eb1,low,verification,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-011,real estate,,purchase
,0.36,needs_verification,,valcavallinaimmobili.it,12,verification,,medium,,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-012,real estate,,score
,0.36,needs_verification,verification_ready,valcavallinaimmobili.it,12,verification,ord_d51ec365,medium,verification,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-012,real estate,,purchase
,0.47,needs_verification,,agenzia-immobiliare-demo.it,13,verification,,high,,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-013,real estate,,score
,0.47,needs_verification,verification_ready,agenzia-immobiliare-demo.it,13,verification,ord_4b68d988,high,verification,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-013,real estate,,purchase
,0.8,buy_deep_analysis,,centromedicosanpiox.it,14,deep_analysis,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-014,dentist,,score
,0.8,buy_deep_analysis,deep_analysis_ready,centromedicosanpiox.it,14,deep_analysis,ord_b6abefc9,high,deep_analysis,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-014,dentist,,purchase
score below natural action threshold 80,0.8,buy_deep_analysis,,centromedicosanpiox.it,14,deep_analysis,,high,action_pack,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-014,dentist,ord_b6abefc9,action_pack_not_bought
,0.35,needs_verification,,studiofamilydental.it,15,verification,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-015,dentist,,score
,0.35,needs_verification,verification_ready,studiofamilydental.it,15,verification,ord_bfa13902,high,verification,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-015,dentist,,purchase
,0.38,needs_verification,,studio-bianco-avvocati.it,16,verification,,medium,,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-016,law firm,,score
,0.38,needs_verification,verification_ready,studio-bianco-avvocati.it,16,verification,ord_e74a4f78,medium,verification,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-016,law firm,,purchase
,0.66,nurture,,impresa-edile-demo.it,17,nurture_signal,,medium,,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-017,construction,,score
,0.66,nurture,nurture_signal_ready,impresa-edile-demo.it,17,nurture_signal,ord_780960a1,medium,nurture_signal,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-017,construction,,purchase
,0.81,watchlist,,agenzia-marketing-demo.it,18,,,medium,,not_applicable,53,natural-action-pack-20260602_110914-1780391354-score-018,marketing agency,,score
,0.49,needs_verification,,tecnocasa.it,19,verification,,low,,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-019,real estate,,score
,0.49,needs_verification,verification_ready,tecnocasa.it,19,verification,ord_13ec5517,low,verification,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-019,real estate,,purchase
,0.49,needs_verification,,farmacia-demo.it,20,verification,,medium,,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-020,medicina estetica,,score
,0.49,needs_verification,verification_ready,farmacia-demo.it,20,verification,ord_7c19029c,medium,verification,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-020,medicina estetica,,purchase
,0.79,buy_deep_analysis,,quinta-essenza.com,21,deep_analysis,,high,,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-021,medicina estetica,,score
,0.79,buy_deep_analysis,deep_analysis_ready,quinta-essenza.com,21,deep_analysis,ord_b6919c59,high,deep_analysis,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-021,medicina estetica,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,quinta-essenza.com,21,deep_analysis,ord_83e87af5,high,action_pack,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-021,medicina estetica,ord_b6919c59,purchase
,0.79,buy_deep_analysis,,clinic3.it,22,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-022,dentist,,score
,0.79,buy_deep_analysis,deep_analysis_ready,clinic3.it,22,deep_analysis,ord_e12635b1,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-022,dentist,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,clinic3.it,22,deep_analysis,ord_90a8de49,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-022,dentist,ord_e12635b1,purchase
,0.62,watchlist,,studio-odontoiatrico-demo.it,23,,,medium,,not_applicable,61,natural-action-pack-20260602_110914-1780391354-score-023,dentist,,score
,0.68,buy_deep_analysis,,avalonbenessere.it,24,deep_analysis,,high,,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-024,medicina estetica,,score
,0.68,buy_deep_analysis,deep_analysis_ready,avalonbenessere.it,24,deep_analysis,ord_306df0bf,high,deep_analysis,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-024,medicina estetica,,purchase
confidence below natural action threshold 0.70,0.68,buy_deep_analysis,,avalonbenessere.it,24,deep_analysis,,high,action_pack,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-024,medicina estetica,ord_306df0bf,action_pack_not_bought
,0.66,buy_deep_analysis,,centromedico-besana.it,25,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-025,dentist,,score
,0.66,buy_deep_analysis,deep_analysis_ready,centromedico-besana.it,25,deep_analysis,ord_66b19e6e,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-025,dentist,,purchase
confidence below natural action threshold 0.70,0.66,buy_deep_analysis,,centromedico-besana.it,25,deep_analysis,,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-025,dentist,ord_66b19e6e,action_pack_not_bought
,0.49,needs_verification,,vistavisiongroup.com,26,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-026,medicina estetica,,score
,0.49,needs_verification,verification_ready,vistavisiongroup.com,26,verification,ord_c4a75f0,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-026,medicina estetica,,purchase
,0.49,needs_verification,,bianchiosteopata.it,27,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-027,medicina estetica,,score
,0.49,needs_verification,verification_ready,bianchiosteopata.it,27,verification,ord_23466af,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-027,medicina estetica,,purchase
,0.35,needs_verification,,example-dentist-milano.it,28,verification,,high,,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-028,dentist,,score
,0.35,needs_verification,verification_ready,example-dentist-milano.it,28,verification,ord_fc6f20e7,high,verification,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-028,dentist,,purchase
,0.5,nurture,,demo-clinic-lombardia.it,29,nurture_signal,,medium,,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-029,dentist,,score
,0.5,nurture,nurture_signal_ready,demo-clinic-lombardia.it,29,nurture_signal,ord_139ca787,medium,nurture_signal,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-029,dentist,,purchase
,0.67,nurture,,studio-legale-demo.it,30,nurture_signal,,medium,,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-030,law firm,,score
,0.67,nurture,nurture_signal_ready,studio-legale-demo.it,30,nurture_signal,ord_4c804cb2,medium,nurture_signal,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-030,law firm,,purchase
,0.49,needs_verification,,cogebra.com,31,verification,,low,,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-031,real estate,,score
,0.49,needs_verification,verification_ready,cogebra.com,31,verification,ord_81659157,low,verification,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-031,real estate,,purchase
,0.36,needs_verification,,valcavallinaimmobili.it,32,verification,,medium,,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-032,real estate,,score
,0.36,needs_verification,verification_ready,valcavallinaimmobili.it,32,verification,ord_9e1ca6d3,medium,verification,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-032,real estate,,purchase
,0.47,needs_verification,,agenzia-immobiliare-demo.it,33,verification,,high,,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-033,real estate,,score
,0.47,needs_verification,verification_ready,agenzia-immobiliare-demo.it,33,verification,ord_f8be1052,high,verification,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-033,real estate,,purchase
,0.8,buy_deep_analysis,,centromedicosanpiox.it,34,deep_analysis,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-034,dentist,,score
,0.8,buy_deep_analysis,deep_analysis_ready,centromedicosanpiox.it,34,deep_analysis,ord_454d3fe3,high,deep_analysis,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-034,dentist,,purchase
score below natural action threshold 80,0.8,buy_deep_analysis,,centromedicosanpiox.it,34,deep_analysis,,high,action_pack,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-034,dentist,ord_454d3fe3,action_pack_not_bought
,0.35,needs_verification,,studiofamilydental.it,35,verification,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-035,dentist,,score
,0.35,needs_verification,verification_ready,studiofamilydental.it,35,verification,ord_fe77f3fc,high,verification,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-035,dentist,,purchase
,0.38,needs_verification,,studio-bianco-avvocati.it,36,verification,,medium,,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-036,law firm,,score
,0.38,needs_verification,verification_ready,studio-bianco-avvocati.it,36,verification,ord_9110a4be,medium,verification,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-036,law firm,,purchase
,0.66,nurture,,impresa-edile-demo.it,37,nurture_signal,,medium,,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-037,construction,,score
,0.66,nurture,nurture_signal_ready,impresa-edile-demo.it,37,nurture_signal,ord_9de9944b,medium,nurture_signal,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-037,construction,,purchase
,0.81,watchlist,,agenzia-marketing-demo.it,38,,,medium,,not_applicable,53,natural-action-pack-20260602_110914-1780391354-score-038,marketing agency,,score
,0.49,needs_verification,,tecnocasa.it,39,verification,,low,,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-039,real estate,,score
,0.49,needs_verification,verification_ready,tecnocasa.it,39,verification,ord_4b9c44b9,low,verification,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-039,real estate,,purchase
,0.49,needs_verification,,farmacia-demo.it,40,verification,,medium,,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-040,medicina estetica,,score
,0.49,needs_verification,verification_ready,farmacia-demo.it,40,verification,ord_6df1c00a,medium,verification,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-040,medicina estetica,,purchase
,0.79,buy_deep_analysis,,quinta-essenza.com,41,deep_analysis,,high,,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-041,medicina estetica,,score
,0.79,buy_deep_analysis,deep_analysis_ready,quinta-essenza.com,41,deep_analysis,ord_4f738b0b,high,deep_analysis,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-041,medicina estetica,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,quinta-essenza.com,41,deep_analysis,ord_affc4de3,high,action_pack,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-041,medicina estetica,ord_4f738b0b,purchase
,0.79,buy_deep_analysis,,clinic3.it,42,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-042,dentist,,score
,0.79,buy_deep_analysis,deep_analysis_ready,clinic3.it,42,deep_analysis,ord_96dc0423,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-042,dentist,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,clinic3.it,42,deep_analysis,ord_ba794abf,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-042,dentist,ord_96dc0423,purchase
,0.62,watchlist,,studio-odontoiatrico-demo.it,43,,,medium,,not_applicable,61,natural-action-pack-20260602_110914-1780391354-score-043,dentist,,score
,0.68,buy_deep_analysis,,avalonbenessere.it,44,deep_analysis,,high,,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-044,medicina estetica,,score
,0.68,buy_deep_analysis,deep_analysis_ready,avalonbenessere.it,44,deep_analysis,ord_f54a22b5,high,deep_analysis,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-044,medicina estetica,,purchase
confidence below natural action threshold 0.70,0.68,buy_deep_analysis,,avalonbenessere.it,44,deep_analysis,,high,action_pack,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-044,medicina estetica,ord_f54a22b5,action_pack_not_bought
,0.66,buy_deep_analysis,,centromedico-besana.it,45,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-045,dentist,,score
,0.66,buy_deep_analysis,deep_analysis_ready,centromedico-besana.it,45,deep_analysis,ord_7cba65c0,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-045,dentist,,purchase
confidence below natural action threshold 0.70,0.66,buy_deep_analysis,,centromedico-besana.it,45,deep_analysis,,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-045,dentist,ord_7cba65c0,action_pack_not_bought
,0.49,needs_verification,,vistavisiongroup.com,46,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-046,medicina estetica,,score
,0.49,needs_verification,verification_ready,vistavisiongroup.com,46,verification,ord_bd94420e,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-046,medicina estetica,,purchase
,0.49,needs_verification,,bianchiosteopata.it,47,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-047,medicina estetica,,score
,0.49,needs_verification,verification_ready,bianchiosteopata.it,47,verification,ord_f7b5265d,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-047,medicina estetica,,purchase
,0.35,needs_verification,,example-dentist-milano.it,48,verification,,high,,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-048,dentist,,score
,0.35,needs_verification,verification_ready,example-dentist-milano.it,48,verification,ord_f47d6969,high,verification,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-048,dentist,,purchase
,0.5,nurture,,demo-clinic-lombardia.it,49,nurture_signal,,medium,,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-049,dentist,,score
,0.5,nurture,nurture_signal_ready,demo-clinic-lombardia.it,49,nurture_signal,ord_2ccff7d1,medium,nurture_signal,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-049,dentist,,purchase
,0.67,nurture,,studio-legale-demo.it,50,nurture_signal,,medium,,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-050,law firm,,score
,0.67,nurture,nurture_signal_ready,studio-legale-demo.it,50,nurture_signal,ord_7d48496c,medium,nurture_signal,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-050,law firm,,purchase
,0.49,needs_verification,,cogebra.com,51,verification,,low,,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-051,real estate,,score
,0.49,needs_verification,verification_ready,cogebra.com,51,verification,ord_f99cfc35,low,verification,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-051,real estate,,purchase
,0.36,needs_verification,,valcavallinaimmobili.it,52,verification,,medium,,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-052,real estate,,score
,0.36,needs_verification,verification_ready,valcavallinaimmobili.it,52,verification,ord_719a43a9,medium,verification,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-052,real estate,,purchase
,0.47,needs_verification,,agenzia-immobiliare-demo.it,53,verification,,high,,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-053,real estate,,score
,0.47,needs_verification,verification_ready,agenzia-immobiliare-demo.it,53,verification,ord_f45a005c,high,verification,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-053,real estate,,purchase
,0.8,buy_deep_analysis,,centromedicosanpiox.it,54,deep_analysis,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-054,dentist,,score
,0.8,buy_deep_analysis,deep_analysis_ready,centromedicosanpiox.it,54,deep_analysis,ord_dc3b871d,high,deep_analysis,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-054,dentist,,purchase
score below natural action threshold 80,0.8,buy_deep_analysis,,centromedicosanpiox.it,54,deep_analysis,,high,action_pack,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-054,dentist,ord_dc3b871d,action_pack_not_bought
,0.35,needs_verification,,studiofamilydental.it,55,verification,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-055,dentist,,score
,0.35,needs_verification,verification_ready,studiofamilydental.it,55,verification,ord_85c834ae,high,verification,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-055,dentist,,purchase
,0.38,needs_verification,,studio-bianco-avvocati.it,56,verification,,medium,,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-056,law firm,,score
,0.38,needs_verification,verification_ready,studio-bianco-avvocati.it,56,verification,ord_7c5d5754,medium,verification,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-056,law firm,,purchase
,0.66,nurture,,impresa-edile-demo.it,57,nurture_signal,,medium,,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-057,construction,,score
,0.66,nurture,nurture_signal_ready,impresa-edile-demo.it,57,nurture_signal,ord_1f95d36d,medium,nurture_signal,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-057,construction,,purchase
,0.81,watchlist,,agenzia-marketing-demo.it,58,,,medium,,not_applicable,53,natural-action-pack-20260602_110914-1780391354-score-058,marketing agency,,score
,0.49,needs_verification,,tecnocasa.it,59,verification,,low,,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-059,real estate,,score
,0.49,needs_verification,verification_ready,tecnocasa.it,59,verification,ord_636d6c23,low,verification,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-059,real estate,,purchase
,0.49,needs_verification,,farmacia-demo.it,60,verification,,medium,,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-060,medicina estetica,,score
,0.49,needs_verification,verification_ready,farmacia-demo.it,60,verification,ord_503d98e0,medium,verification,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-060,medicina estetica,,purchase
,0.79,buy_deep_analysis,,quinta-essenza.com,61,deep_analysis,,high,,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-061,medicina estetica,,score
,0.79,buy_deep_analysis,deep_analysis_ready,quinta-essenza.com,61,deep_analysis,ord_c5e5c775,high,deep_analysis,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-061,medicina estetica,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,quinta-essenza.com,61,deep_analysis,ord_b2946399,high,action_pack,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-061,medicina estetica,ord_c5e5c775,purchase
,0.79,buy_deep_analysis,,clinic3.it,62,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-062,dentist,,score
,0.79,buy_deep_analysis,deep_analysis_ready,clinic3.it,62,deep_analysis,ord_d72d2e3d,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-062,dentist,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,clinic3.it,62,deep_analysis,ord_4dd1650d,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-062,dentist,ord_d72d2e3d,purchase
,0.62,watchlist,,studio-odontoiatrico-demo.it,63,,,medium,,not_applicable,61,natural-action-pack-20260602_110914-1780391354-score-063,dentist,,score
,0.68,buy_deep_analysis,,avalonbenessere.it,64,deep_analysis,,high,,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-064,medicina estetica,,score
,0.68,buy_deep_analysis,deep_analysis_ready,avalonbenessere.it,64,deep_analysis,ord_81172feb,high,deep_analysis,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-064,medicina estetica,,purchase
confidence below natural action threshold 0.70,0.68,buy_deep_analysis,,avalonbenessere.it,64,deep_analysis,,high,action_pack,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-064,medicina estetica,ord_81172feb,action_pack_not_bought
,0.66,buy_deep_analysis,,centromedico-besana.it,65,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-065,dentist,,score
,0.66,buy_deep_analysis,deep_analysis_ready,centromedico-besana.it,65,deep_analysis,ord_d39ba09a,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-065,dentist,,purchase
confidence below natural action threshold 0.70,0.66,buy_deep_analysis,,centromedico-besana.it,65,deep_analysis,,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-065,dentist,ord_d39ba09a,action_pack_not_bought
,0.49,needs_verification,,vistavisiongroup.com,66,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-066,medicina estetica,,score
,0.49,needs_verification,verification_ready,vistavisiongroup.com,66,verification,ord_9cf4019c,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-066,medicina estetica,,purchase
,0.49,needs_verification,,bianchiosteopata.it,67,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-067,medicina estetica,,score
,0.49,needs_verification,verification_ready,bianchiosteopata.it,67,verification,ord_601b58cb,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-067,medicina estetica,,purchase
,0.35,needs_verification,,example-dentist-milano.it,68,verification,,high,,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-068,dentist,,score
,0.35,needs_verification,verification_ready,example-dentist-milano.it,68,verification,ord_59b4dab3,high,verification,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-068,dentist,,purchase
,0.5,nurture,,demo-clinic-lombardia.it,69,nurture_signal,,medium,,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-069,dentist,,score
