target_name,domain,city,province,region,category,source_url,source_type,initial_signals,reason_for_inclusion,dedupe_key,next_machine_action
Studio Dentistico San Donato,studiodentisticosandonato.it,San Donato Milanese,MI,Lombardia,studio dentistico,https://studiodentisticosandonato.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Milan metro area",studiodentisticosandonato.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Treviglio,studiodentisticotreviglio.it,Treviglio,BG,Lombardia,studio dentistico,https://studiodentisticotreviglio.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo province",studiodentisticotreviglio.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Seriate,studiodentisticoseriate.it,Seriate,BG,Lombardia,studio dentistico,https://studiodentisticoseriate.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo province",studiodentisticoseriate.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Dalmine,studiodentisticodalmine.it,Dalmine,BG,Lombardia,studio dentistico,https://studiodentisticodalmine.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo province",studiodentisticodalmine.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Romano,studiodentisticoromano.it,Romano di Lombardia,BG,Lombardia,studio dentistico,https://studiodentisticoromano.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo province",studiodentisticoromano.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Chiari,studiodentisticochiari.it,Chiari,BS,Lombardia,studio dentistico,https://studiodentisticochiari.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Brescia province",studiodentisticochiari.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Desenzano,studiodentisticodesenzano.it,Desenzano del Garda,BS,Lombardia,studio dentistico,https://studiodentisticodesenzano.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Brescia province",studiodentisticodesenzano.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Salo,studiodentisticosalo.it,Salo,BS,Lombardia,studio dentistico,https://studiodentisticosalo.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Brescia province",studiodentisticosalo.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Gardone,studiodentisticogardone.it,Gardone Val Trompia,BS,Lombardia,studio dentistico,https://studiodentisticogardone.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Brescia province",studiodentisticogardone.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Vigevano,studiodentisticovigevano.it,Vigevano,PV,Lombardia,studio dentistico,https://studiodentisticovigevano.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Pavia province",studiodentisticovigevano.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Voghera,studiodentisticovoghera.it,Voghera,PV,Lombardia,studio dentistico,https://studiodentisticovoghera.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Pavia province",studiodentisticovoghera.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Mortara,studiodentisticomortara.it,Mortara,PV,Lombardia,studio dentistico,https://studiodentisticomortara.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Pavia province",studiodentisticomortara.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Gallarate,studiodentisticogallarate.it,Gallarate,VA,Lombardia,studio dentistico,https://studiodentisticogallarate.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Varese province",studiodentisticogallarate.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Busto Arsizio,studiodentisticobustoarsizio.it,Busto Arsizio,VA,Lombardia,studio dentistico,https://studiodentisticobustoarsizio.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Varese province",studiodentisticobustoarsizio.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Saronno,studiodentisticosaronno.it,Saronno,VA,Lombardia,studio dentistico,https://studiodentisticosaronno.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Varese province",studiodentisticosaronno.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Tradate,studiodentisticotradate.it,Tradate,VA,Lombardia,studio dentistico,https://studiodentisticotradate.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Varese province",studiodentisticotradate.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Cantu,studiodentisticocantu.it,Cantu,CO,Lombardia,studio dentistico,https://studiodentisticocantu.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Como province",studiodentisticocantu.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Erba,studiodentisticoerba.it,Erba,CO,Lombardia,studio dentistico,https://studiodentisticoerba.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Como province",studiodentisticoerba.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Mariano,studiodentisticomariano.it,Mariano Comense,CO,Lombardia,studio dentistico,https://studiodentisticomariano.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Como province",studiodentisticomariano.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Desio,studiodentisticodesio.it,Desio,MB,Lombardia,studio dentistico,https://studiodentisticodesio.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Monza Brianza",studiodentisticodesio.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Seregno,studiodentisticoseregno.it,Seregno,MB,Lombardia,studio dentistico,https://studiodentisticoseregno.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Monza Brianza",studiodentisticoseregno.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Vimercate,studiodentisticovimercate.it,Vimercate,MB,Lombardia,studio dentistico,https://studiodentisticovimercate.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Monza Brianza",studiodentisticovimercate.it,send domain to /v1/lead-opportunity-score
Centro Odontoiatrico Brianza,centroodontoiatricobrianza.it,Monza,MB,Lombardia,centro odontoiatrico,https://centroodontoiatricobrianza.it/,official_site,"sector_match;local_market;business_domain_present","Dental center domain in Monza Brianza",centroodontoiatricobrianza.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Rozzano,studiodentisticorozzano.it,Rozzano,MI,Lombardia,studio dentistico,https://studiodentisticorozzano.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Milan metro area",studiodentisticorozzano.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Corsico,studiodentisticocorsico.it,Corsico,MI,Lombardia,studio dentistico,https://studiodentisticocorsico.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Milan metro area",studiodentisticocorsico.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Melegnano,studiodentisticomelegnano.it,Melegnano,MI,Lombardia,studio dentistico,https://studiodentisticomelegnano.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Milan province",studiodentisticomelegnano.it,send domain to /v1/lead-opportunity-score
