target_name,domain,city,province,region,category,source_url,source_type,initial_signals,reason_for_inclusion,dedupe_key,next_machine_action
Studio Dentistico Gazzoli,studiodentisticogazzoli.it,Brescia,BS,Lombardia,studio dentistico,https://studiodentisticogazzoli.it/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Brescia area",studiodentisticogazzoli.it,send domain to /v1/lead-opportunity-score
Dental P,dentalp.it,Brescia,BS,Lombardia,studio dentistico,https://dentalp.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Brescia area",dentalp.it,send domain to /v1/lead-opportunity-score
Studio Ferlinghetti Andrea,ferlinghettiandrea.it,Brescia,BS,Lombardia,studio dentistico,https://ferlinghettiandrea.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Brescia area",ferlinghettiandrea.it,send domain to /v1/lead-opportunity-score
Studio Odontoiatrico Franchini,studioodontoiatricofranchini.it,Brescia,BS,Lombardia,studio odontoiatrico,https://studioodontoiatricofranchini.it/,official_site,"sector_match;local_market;business_domain_present","Official odontoiatric practice domain in Brescia area",studioodontoiatricofranchini.it,send domain to /v1/lead-opportunity-score
Studio Odontoiatrico Marini,studioodontoiatricomarini.it,Brescia,BS,Lombardia,studio odontoiatrico,https://studioodontoiatricomarini.it/,official_site,"sector_match;local_market;business_domain_present","Official odontoiatric practice domain in Brescia area",studioodontoiatricomarini.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Brescia,studiodentisticobrescia.it,Brescia,BS,Lombardia,studio dentistico,https://studiodentisticobrescia.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Brescia area",studiodentisticobrescia.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Sandro Zamboni,studiodentisticosandrozamboni.it,Brescia,BS,Lombardia,studio dentistico,https://studiodentisticosandrozamboni.it/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Brescia area",studiodentisticosandrozamboni.it,send domain to /v1/lead-opportunity-score
Benacus Lab,benacuslab.com,Brescia,BS,Lombardia,studio dentistico,https://benacuslab.com/,official_site,"sector_match;local_market;business_domain_present","Dental-related domain in Brescia/Lake Garda area",benacuslab.com,send domain to /v1/lead-opportunity-score
Studio Beghetti,studiobeghetti.com,Brescia,BS,Lombardia,studio dentistico,https://studiobeghetti.com/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Brescia area",studiobeghetti.com,send domain to /v1/lead-opportunity-score
Studio Dentistico De Biasi,studiodentisticodebiasi.com,Brescia,BS,Lombardia,studio dentistico,https://studiodentisticodebiasi.com/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Brescia area",studiodentisticodebiasi.com,send domain to /v1/lead-opportunity-score
Studio Dentistico Redaelli,studiodentisticoredaelli.it,Bergamo,BG,Lombardia,studio dentistico,https://studiodentisticoredaelli.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo area",studiodentisticoredaelli.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Russo,studiodentisticorusso.eu,Bergamo,BG,Lombardia,studio dentistico,https://studiodentisticorusso.eu/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo area",studiodentisticorusso.eu,send domain to /v1/lead-opportunity-score
Studio Motta Rossi,studiomottarossi.it,Bergamo,BG,Lombardia,studio dentistico,https://studiomottarossi.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo area",studiomottarossi.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Trebeschi,studiodentisticotrebeschi.it,Bergamo,BG,Lombardia,studio dentistico,https://studiodentisticotrebeschi.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo area",studiodentisticotrebeschi.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Maragliano,studiodentisticomaragliano.it,Bergamo,BG,Lombardia,studio dentistico,https://studiodentisticomaragliano.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo area",studiodentisticomaragliano.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Denti Salute,studiodentisticodentisalute.com,Bergamo,BG,Lombardia,studio dentistico,https://studiodentisticodentisalute.com/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo area",studiodentisticodentisalute.com,send domain to /v1/lead-opportunity-score
Studio Dentistico Perico,studiodentisticoperico.it,Bergamo,BG,Lombardia,studio dentistico,https://studiodentisticoperico.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo area",studiodentisticoperico.it,send domain to /v1/lead-opportunity-score
Studio Odontoiatrico Bergamo,studioodontoiatricobergamo.it,Bergamo,BG,Lombardia,studio odontoiatrico,https://studioodontoiatricobergamo.it/,official_site,"sector_match;local_market;business_domain_present","Odontoiatric practice domain in Bergamo area",studioodontoiatricobergamo.it,send domain to /v1/lead-opportunity-score
SD Bergamo,sdbergamo.it,Bergamo,BG,Lombardia,studio dentistico,https://sdbergamo.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo area",sdbergamo.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Ferroni,studiodentisticoferroni.it,Bergamo,BG,Lombardia,studio dentistico,https://studiodentisticoferroni.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Bergamo area",studiodentisticoferroni.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Abaco,studiodentisticoabaco.it,Monza,MB,Lombardia,studio dentistico,https://studiodentisticoabaco.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Monza area",studiodentisticoabaco.it,send domain to /v1/lead-opportunity-score
Centro Dentistico Monza,centrodentisticomonza.com,Monza,MB,Lombardia,centro dentistico,https://centrodentisticomonza.com/,official_site,"sector_match;local_market;business_domain_present","Dental center domain in Monza area",centrodentisticomonza.com,send domain to /v1/lead-opportunity-score
Studio Dentistico Russo,studiodentistico-russo.it,Monza,MB,Lombardia,studio dentistico,https://studiodentistico-russo.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Monza area",studiodentistico-russo.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Calvi,studiodentisticocalvi.it,Monza,MB,Lombardia,studio dentistico,https://studiodentisticocalvi.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Monza area",studiodentisticocalvi.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Spreafico,studiodentisticospreafico.it,Monza,MB,Lombardia,studio dentistico,https://studiodentisticospreafico.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Monza area",studiodentisticospreafico.it,send domain to /v1/lead-opportunity-score
Dental Monza,dentalmonza.it,Monza,MB,Lombardia,studio dentistico,https://dentalmonza.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Monza area",dentalmonza.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Lissone,studiodentisticolissone.com,Lissone,MB,Lombardia,studio dentistico,https://studiodentisticolissone.com/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Monza Brianza area",studiodentisticolissone.com,send domain to /v1/lead-opportunity-score
Studio Dentistico Como,studiodentisticocomo.it,Como,CO,Lombardia,studio dentistico,https://studiodentisticocomo.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Como area",studiodentisticocomo.it,send domain to /v1/lead-opportunity-score
Studio Bruno Donzelli,studiobrunodonzelli.it,Como,CO,Lombardia,studio dentistico,https://studiobrunodonzelli.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Como area",studiobrunodonzelli.it,send domain to /v1/lead-opportunity-score
Studio Foggiato,studiofoggiato.it,Como,CO,Lombardia,studio dentistico,https://studiofoggiato.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Como area",studiofoggiato.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Montagna,studiodentisticomontagna.it,Varese,VA,Lombardia,studio dentistico,https://studiodentisticomontagna.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Varese area",studiodentisticomontagna.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Dalla Torre,studiodentisticodallatorre.it,Varese,VA,Lombardia,studio dentistico,https://studiodentisticodallatorre.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Varese area",studiodentisticodallatorre.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Cairoli,studiodentisticocairoli.it,Varese,VA,Lombardia,studio dentistico,https://studiodentisticocairoli.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Varese area",studiodentisticocairoli.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Masullo,studiodentisticomasullo.it,Varese,VA,Lombardia,studio dentistico,https://studiodentisticomasullo.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Varese area",studiodentisticomasullo.it,send domain to /v1/lead-opportunity-score
Studio Pozzi Odontoiatria,studiopozziodontoiatria.it,Varese,VA,Lombardia,studio odontoiatrico,https://studiopozziodontoiatria.it/,official_site,"sector_match;local_market;business_domain_present","Odontoiatric practice domain in Varese area",studiopozziodontoiatria.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Pavia,studiodentisticopavia.it,Pavia,PV,Lombardia,studio dentistico,https://studiodentisticopavia.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Pavia area",studiodentisticopavia.it,send domain to /v1/lead-opportunity-score
Dentista Pavia,dentistapavia.it,Pavia,PV,Lombardia,studio dentistico,https://dentistapavia.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Pavia area",dentistapavia.it,send domain to /v1/lead-opportunity-score
Studio Dentistico San Marco,studiodentisticosanmarco.com,Pavia,PV,Lombardia,studio dentistico,https://studiodentisticosanmarco.com/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Pavia area",studiodentisticosanmarco.com,send domain to /v1/lead-opportunity-score
Studio Mascetti,studiomascetti.it,Pavia,PV,Lombardia,studio dentistico,https://studiomascetti.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Pavia area",studiomascetti.it,send domain to /v1/lead-opportunity-score
